"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13149","Heard County, GA","9,681","0","1,534","193","15.8","2.0","8,147","193","84.2","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13151","Henry County, GA","204,670","0","27,433","2,722","13.4","1.3","177,237","2,722","86.6","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13153","Houston County, GA","135,359","0","17,415","2,015","12.9","1.5","117,944","2,015","87.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13155","Irwin County, GA","6,501","0","1,044","129","16.1","2.0","5,457","129","83.9","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13157","Jackson County, GA","64,549","0","9,843","1,033","15.2","1.6","54,706","1,033","84.8","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13159","Jasper County, GA","11,621","0","2,301","254","19.8","2.2","9,320","254","80.2","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13161","Jeff Davis County, GA","12,321","0","2,528","292","20.5","2.4","9,793","292","79.5","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13163","Jefferson County, GA","11,511","0","2,124","242","18.5","2.1","9,387","242","81.5","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13165","Jenkins County, GA","5,904","0","1,057","134","17.9","2.3","4,847","134","82.1","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13167","Johnson County, GA","6,023","0","1,116","128","18.5","2.1","4,907","128","81.5","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13169","Jones County, GA","23,046","0","3,350","413","14.5","1.8","19,696","413","85.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13171","Lamar County, GA","14,590","0","2,057","256","14.1","1.8","12,533","256","85.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13173","Lanier County, GA","8,733","0","1,424","199","16.3","2.3","7,309","199","83.7","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13175","Laurens County, GA","37,030","0","5,787","665","15.6","1.8","31,243","665","84.4","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13177","Lee County, GA","25,161","0","3,443","426","13.7","1.7","21,718","426","86.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13179","Liberty County, GA","52,678","0","7,571","968","14.4","1.8","45,107","968","85.6","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13181","Lincoln County, GA","5,822","0","1,242","140","21.3","2.4","4,580","140","78.7","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13183","Long County, GA","17,359","0","3,227","417","18.6","2.4","14,132","417","81.4","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13185","Lowndes County, GA","94,702","0","15,582","1,691","16.5","1.8","79,120","1,691","83.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13187","Lumpkin County, GA","24,815","0","5,067","599","20.4","2.4","19,748","599","79.6","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13189","McDuffie County, GA","16,478","0","2,688","323","16.3","2.0","13,790","323","83.7","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13191","McIntosh County, GA","9,928","0","1,619","214","16.3","2.2","8,309","214","83.7","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13193","Macon County, GA","8,187","0","1,639","184","20.0","2.2","6,548","184","80.0","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13195","Madison County, GA","24,654","0","4,674","500","19.0","2.0","19,980","500","81.0","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13197","Marion County, GA","6,526","0","1,150","139","17.6","2.1","5,376","139","82.4","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13199","Meriwether County, GA","16,048","0","2,943","338","18.3","2.1","13,105","338","81.7","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13201","Miller County, GA","4,232","0","691","86","16.3","2.0","3,541","86","83.7","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13205","Mitchell County, GA","15,286","0","2,756","318","18.0","2.1","12,530","318","82.0","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13207","Monroe County, GA","21,406","0","3,293","378","15.4","1.8","18,113","378","84.6","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13209","Montgomery County, GA","6,443","0","1,170","136","18.2","2.1","5,273","136","81.8","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13211","Morgan County, GA","15,285","0","2,308","275","15.1","1.8","12,977","275","84.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13213","Murray County, GA","33,233","0","7,336","728","22.1","2.2","25,897","728","77.9","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13215","Muscogee County, GA","158,168","0","24,918","2,432","15.8","1.5","133,250","2,432","84.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13217","Newton County, GA","93,776","0","15,543","1,660","16.6","1.8","78,233","1,660","83.4","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13219","Oconee County, GA","34,778","0","3,877","448","11.1","1.3","30,901","448","88.9","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13221","Oglethorpe County, GA","12,091","0","2,616","297","21.6","2.5","9,475","297","78.4","2.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13223","Paulding County, GA","152,153","0","21,582","2,260","14.2","1.5","130,571","2,260","85.8","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13225","Peach County, GA","21,366","0","4,179","463","19.6","2.2","17,187","463","80.4","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13227","Pickens County, GA","25,422","0","4,658","501","18.3","2.0","20,764","501","81.7","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13229","Pierce County, GA","15,818","0","2,865","330","18.1","2.1","12,953","330","81.9","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13231","Pike County, GA","15,726","0","2,440","271","15.5","1.7","13,286","271","84.5","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13233","Polk County, GA","35,158","0","6,654","699","18.9","2.0","28,504","699","81.1","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13235","Pulaski County, GA","7,283","0","1,112","149","15.3","2.0","6,171","149","84.7","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13237","Putnam County, GA","16,365","0","2,842","343","17.4","2.1","13,523","343","82.6","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13239","Quitman County, GA","1,477","0","342","41","23.2","2.8","1,135","41","76.8","2.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13241","Rabun County, GA","12,053","0","2,726","287","22.6","2.4","9,327","287","77.4","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13243","Randolph County, GA","4,461","0","840","106","18.8","2.4","3,621","106","81.2","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13245","Richmond County, GA","154,429","0","25,456","2,442","16.5","1.6","128,973","2,442","83.5","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13247","Rockdale County, GA","73,862","0","11,718","1,283","15.9","1.7","62,144","1,283","84.1","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13249","Schley County, GA","4,203","0","660","86","15.7","2.0","3,543","86","84.3","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13251","Screven County, GA","10,463","0","1,745","221","16.7","2.1","8,718","221","83.3","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13253","Seminole County, GA","5,912","0","993","125","16.8","2.1","4,919","125","83.2","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13255","Spalding County, GA","52,236","0","8,813","982","16.9","1.9","43,423","982","83.1","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13257","Stephens County, GA","20,064","0","3,348","361","16.7","1.8","16,716","361","83.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13259","Stewart County, GA","3,917","0","781","142","19.9","3.6","3,136","142","80.1","3.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13261","Sumter County, GA","21,759","0","3,573","431","16.4","2.0","18,186","431","83.6","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13263","Talbot County, GA","4,358","0","741","97","17.0","2.2","3,617","97","83.0","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13265","Taliaferro County, GA","1,067","0","230","29","21.6","2.7","837","29","78.4","2.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13267","Tattnall County, GA","16,780","0","3,253","367","19.4","2.2","13,527","367","80.6","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13269","Taylor County, GA","6,035","0","1,020","127","16.9","2.1","5,015","127","83.1","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13271","Telfair County, GA","9,463","0","1,585","215","16.7","2.3","7,878","215","83.3","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13273","Terrell County, GA","6,250","0","1,112","134","17.8","2.1","5,138","134","82.2","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13275","Thomas County, GA","34,652","0","5,236","590","15.1","1.7","29,416","590","84.9","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13277","Tift County, GA","32,024","0","6,377","687","19.9","2.1","25,647","687","80.1","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13279","Toombs County, GA","21,559","0","4,333","453","20.1","2.1","17,226","453","79.9","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13281","Towns County, GA","6,832","0","1,242","153","18.2","2.2","5,590","153","81.8","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13283","Treutlen County, GA","5,065","0","1,029","121","20.3","2.4","4,036","121","79.7","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13285","Troup County, GA","56,031","0","9,187","1,056","16.4","1.9","46,844","1,056","83.6","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13287","Turner County, GA","5,851","0","1,057","130","18.1","2.2","4,794","130","81.9","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13289","Twiggs County, GA","5,979","0","1,013","127","16.9","2.1","4,966","127","83.1","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13291","Union County, GA","16,323","0","2,894","339","17.7","2.1","13,429","339","82.3","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13293","Upson County, GA","20,830","0","3,093","388","14.8","1.9","17,737","388","85.2","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13295","Walker County, GA","55,227","0","9,398","1,036","17.0","1.9","45,829","1,036","83.0","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13297","Walton County, GA","79,913","0","12,247","1,251","15.3","1.6","67,666","1,251","84.7","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13299","Ware County, GA","26,666","0","4,704","503","17.6","1.9","21,962","503","82.4","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13301","Warren County, GA","3,844","0","641","85","16.7","2.2","3,203","85","83.3","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13303","Washington County, GA","14,232","0","2,219","272","15.6","1.9","12,013","272","84.4","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13305","Wayne County, GA","22,841","0","3,932","430","17.2","1.9","18,909","430","82.8","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13307","Webster County, GA","1,902","0","301","41","15.8","2.2","1,601","41","84.2","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13309","Wheeler County, GA","3,975","0","653","88","16.4","2.2","3,322","88","83.6","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13311","White County, GA","22,983","0","4,499","520","19.6","2.3","18,484","520","80.4","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13313","Whitfield County, GA","86,476","0","20,972","1,801","24.3","2.1","65,504","1,801","75.7","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13315","Wilcox County, GA","5,001","0","723","97","14.5","1.9","4,278","97","85.5","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13317","Wilkes County, GA","7,038","0","1,344","154","19.1","2.2","5,694","154","80.9","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13319","Wilkinson County, GA","6,687","0","1,114","132","16.7","2.0","5,573","132","83.3","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","13321","Worth County, GA","15,532","0","2,474","313","15.9","2.0","13,058","313","84.1","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","15000","Hawaii","1,153,478","0","54,122","4,613","4.7","0.4","1,099,356","4,613","95.3","0.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","15001","Hawaii County, HI","163,859","0","8,933","1,140","5.5","0.7","154,926","1,140","94.5","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","15003","Honolulu County, HI","790,837","0","33,782","2,040","4.3","0.3","757,055","2,040","95.7","0.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","15005","Kalawao County, HI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","15007","Kauai County, HI","58,676","0","3,301","500","5.6","0.9","55,375","500","94.4","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","15009","Maui County, HI","140,106","0","8,106","1,028","5.8","0.7","132,000","1,028","94.2","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16000","Idaho","1,495,244","0","166,803","8,988","11.2","0.6","1,328,441","8,988","88.8","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16001","Ada County, ID","416,077","0","29,890","2,673","7.2","0.6","386,187","2,673","92.8","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16003","Adams County, ID","3,008","0","413","60","13.7","2.0","2,595","60","86.3","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16005","Bannock County, ID","73,146","0","7,476","874","10.2","1.2","65,670","874","89.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16007","Bear Lake County, ID","4,798","0","532","78","11.1","1.6","4,266","78","88.9","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16009","Benewah County, ID","7,107","0","1,048","130","14.7","1.8","6,059","130","85.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16011","Bingham County, ID","39,506","0","5,076","607","12.8","1.5","34,430","607","87.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16013","Blaine County, ID","18,706","0","3,000","365","16.0","2.0","15,706","365","84.0","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16015","Boise County, ID","5,793","0","674","96","11.6","1.7","5,119","96","88.4","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16017","Bonner County, ID","34,158","0","4,210","525","12.3","1.5","29,948","525","87.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16019","Bonneville County, ID","104,542","0","10,752","1,177","10.3","1.1","93,790","1,177","89.7","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16021","Boundary County, ID","9,423","0","1,492","194","15.8","2.1","7,931","194","84.2","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16023","Butte County, ID","1,952","0","204","30","10.5","1.5","1,748","30","89.5","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16025","Camas County, ID","852","0","112","17","13.1","2.0","740","17","86.9","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16027","Canyon County, ID","197,034","0","26,665","2,348","13.5","1.2","170,369","2,348","86.5","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16029","Caribou County, ID","5,838","0","595","86","10.2","1.5","5,243","86","89.8","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16031","Cassia County, ID","20,118","0","2,896","363","14.4","1.8","17,222","363","85.6","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16033","Clark County, ID","663","0","190","24","28.7","3.6","473","24","71.3","3.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16035","Clearwater County, ID","5,580","0","625","89","11.2","1.6","4,955","89","88.8","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16037","Custer County, ID","2,850","0","376","56","13.2","2.0","2,474","56","86.8","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16039","Elmore County, ID","22,421","0","2,920","421","13.0","1.9","19,501","421","87.0","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16041","Franklin County, ID","12,012","0","1,556","202","13.0","1.7","10,456","202","87.0","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16043","Fremont County, ID","10,208","0","1,722","213","16.9","2.1","8,486","213","83.1","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16045","Gem County, ID","14,164","0","1,940","252","13.7","1.8","12,224","252","86.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16047","Gooding County, ID","12,376","0","2,403","284","19.4","2.3","9,973","284","80.6","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16049","Idaho County, ID","11,326","0","1,597","214","14.1","1.9","9,729","214","85.9","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16051","Jefferson County, ID","26,540","0","3,215","408","12.1","1.5","23,325","408","87.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16053","Jerome County, ID","20,572","0","4,016","463","19.5","2.3","16,556","463","80.5","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16055","Kootenai County, ID","136,657","0","15,181","1,636","11.1","1.2","121,476","1,636","88.9","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16057","Latah County, ID","32,339","0","3,544","517","11.0","1.6","28,795","517","89.0","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16059","Lemhi County, ID","5,374","0","636","92","11.8","1.7","4,738","92","88.2","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16061","Lewis County, ID","2,679","0","378","49","14.1","1.8","2,301","49","85.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16063","Lincoln County, ID","4,416","0","818","104","18.5","2.4","3,598","104","81.5","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16065","Madison County, ID","35,797","0","3,294","535","9.2","1.5","32,503","535","90.8","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16067","Minidoka County, ID","17,357","0","3,143","387","18.1","2.2","14,214","387","81.9","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16069","Nez Perce County, ID","31,882","0","3,491","440","10.9","1.4","28,391","440","89.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16071","Oneida County, ID","3,524","0","370","56","10.5","1.6","3,154","56","89.5","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16073","Owyhee County, ID","9,584","0","1,839","215","19.2","2.2","7,745","215","80.8","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16075","Payette County, ID","19,627","0","2,769","346","14.1","1.8","16,858","346","85.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16077","Power County, ID","6,176","0","1,100","139","17.8","2.3","5,076","139","82.2","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16079","Shoshone County, ID","9,484","0","1,208","166","12.7","1.8","8,276","166","87.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16081","Teton County, ID","10,850","0","1,821","238","16.8","2.2","9,029","238","83.2","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16083","Twin Falls County, ID","72,718","0","9,500","1,094","13.1","1.5","63,218","1,094","86.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16085","Valley County, ID","8,610","0","1,060","152","12.3","1.8","7,550","152","87.7","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","16087","Washington County, ID","7,400","0","1,056","139","14.3","1.9","6,344","139","85.7","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17000","Illinois","10,247,950","0","857,511","21,485","8.4","0.2","9,390,439","21,485","91.6","0.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17001","Adams County, IL","50,236","0","3,132","448","6.2","0.9","47,104","448","93.8","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17003","Alexander County, IL","3,994","0","282","46","7.1","1.2","3,712","46","92.9","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17005","Bond County, IL","11,491","0","756","114","6.6","1.0","10,735","114","93.4","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17007","Boone County, IL","43,737","0","3,631","511","8.3","1.2","40,106","511","91.7","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17009","Brown County, IL","3,634","0","104","20","2.9","0.6","3,530","20","97.1","0.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17011","Bureau County, IL","24,677","0","1,806","239","7.3","1.0","22,871","239","92.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17013","Calhoun County, IL","3,453","0","266","41","7.7","1.2","3,187","41","92.3","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17015","Carroll County, IL","10,368","0","659","101","6.4","1.0","9,709","101","93.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17017","Cass County, IL","9,605","0","1,040","146","10.8","1.5","8,565","146","89.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17019","Champaign County, IL","165,789","0","12,634","1,572","7.6","0.9","153,155","1,572","92.4","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17021","Christian County, IL","24,001","0","1,520","223","6.3","0.9","22,481","223","93.7","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17023","Clark County, IL","12,023","0","763","118","6.3","1.0","11,260","118","93.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17025","Clay County, IL","10,178","0","764","117","7.5","1.1","9,414","117","92.5","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17027","Clinton County, IL","28,959","0","1,715","241","5.9","0.8","27,244","241","94.1","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17029","Coles County, IL","38,437","0","3,125","461","8.1","1.2","35,312","461","91.9","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17031","Cook County, IL","4,220,943","0","433,731","12,745","10.3","0.3","3,787,212","12,745","89.7","0.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17033","Crawford County, IL","13,520","0","860","127","6.4","0.9","12,660","127","93.6","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17035","Cumberland County, IL","8,402","0","590","87","7.0","1.0","7,812","87","93.0","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17037","DeKalb County, IL","85,182","0","6,265","876","7.4","1.0","78,917","876","92.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17039","De Witt County, IL","12,144","0","774","115","6.4","0.9","11,370","115","93.6","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17041","Douglas County, IL","15,721","0","1,826","235","11.6","1.5","13,895","235","88.4","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17043","DuPage County, IL","764,846","0","45,252","3,739","5.9","0.5","719,594","3,739","94.1","0.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17045","Edgar County, IL","12,810","0","796","119","6.2","0.9","12,014","119","93.8","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17047","Edwards County, IL","4,903","0","324","51","6.6","1.0","4,579","51","93.4","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17049","Effingham County, IL","27,563","0","1,845","270","6.7","1.0","25,718","270","93.3","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17051","Fayette County, IL","15,514","0","1,258","176","8.1","1.1","14,256","176","91.9","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17053","Ford County, IL","10,250","0","752","109","7.3","1.1","9,498","109","92.7","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17055","Franklin County, IL","29,489","0","2,172","306","7.4","1.0","27,317","306","92.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17057","Fulton County, IL","24,061","0","1,744","244","7.2","1.0","22,317","244","92.8","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17059","Gallatin County, IL","3,601","0","289","43","8.0","1.2","3,312","43","92.0","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17061","Greene County, IL","9,841","0","683","102","6.9","1.0","9,158","102","93.1","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17063","Grundy County, IL","43,291","0","2,594","355","6.0","0.8","40,697","355","94.0","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17065","Hamilton County, IL","6,230","0","406","63","6.5","1.0","5,824","63","93.5","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17067","Hancock County, IL","13,069","0","824","124","6.3","0.9","12,245","124","93.7","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17069","Hardin County, IL","2,729","0","208","34","7.6","1.2","2,521","34","92.4","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17071","Henderson County, IL","4,750","0","355","56","7.5","1.2","4,395","56","92.5","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17073","Henry County, IL","37,546","0","2,431","336","6.5","0.9","35,115","336","93.5","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17075","Iroquois County, IL","20,432","0","1,796","235","8.8","1.2","18,636","235","91.2","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17077","Jackson County, IL","43,807","0","3,946","609","9.0","1.4","39,861","609","91.0","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17079","Jasper County, IL","7,429","0","524","79","7.1","1.1","6,905","79","92.9","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17081","Jefferson County, IL","27,751","0","1,772","252","6.4","0.9","25,979","252","93.6","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17083","Jersey County, IL","16,759","0","966","142","5.8","0.8","15,793","142","94.2","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17085","Jo Daviess County, IL","14,930","0","1,091","153","7.3","1.0","13,839","153","92.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17087","Johnson County, IL","8,377","0","486","75","5.8","0.9","7,891","75","94.2","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17089","Kane County, IL","448,319","0","47,435","3,916","10.6","0.9","400,884","3,916","89.4","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","17091","Kankakee County, IL","84,212","0","6,938","866","8.2","1.0","77,274","866","91.8","1.0"
